xvar,mode,subvar,subset,x0,y0,motor c,disturbed zone amp,disturbed zone effect,disturbed zone error,disturbed zone vi,solid rotation amp,solid rotation effect,solid rotation error,solid rotation vi,fluid reshaping amp,fluid reshaping effect,fluid reshaping error,fluid reshaping vi,best fit,rot amp,best effect,best error,best vi,best effect-vi
21,2,1,20,-0.033499422701620776,0.07404083423240351,-0.015837879588194916,0.03235074789999203,0.0368092245341171,0.0038954469115439075,-0.003285218449244191,0.012527621660471156,0.03958659074515117,0.0032418696511212573,0.0016129939268939638,-0.059220977239586525,0.04051403295643076,0.0030799586426646245,0.043320144850757546,3,-0.059220977239586525,0.04051403295643076,0.0030799586426646245,0.043320144850757546,-0.0028061118943267863
23,2,1,20,0.01556887914907152,0.08972919234588131,-0.024945943374372764,0.05654147988664125,0.044836767334173556,0.004917370719046924,-0.005741787282488419,0.020741566065255908,0.04961425274184322,0.003685136276637715,0.0026705803387320247,-0.0883504343948188,0.050861484176967516,0.0036115019135817546,0.06462834275980996,3,-0.0883504343948188,0.050861484176967516,0.0036115019135817546,0.06462834275980996,-0.01376685858284244
25,2,1,20,0.004557537651640281,-0.18381568268317033,-0.07773834117021275,0.22672937468706966,0.009857588630608377,0.01212944681567687,-0.023024367999471926,0.11292804818117452,0.030993096324746273,0.011855633085154057,0.014540050843567126,0.7450944928293883,0.04563251264773762,0.020771532012440575,0.5450366215046976,2,0.11292804818117452,0.030993096324746273,0.011855633085154057,0.014540050843567126,0.016453045481179145
27,2,1,20,-0.08173462503881777,0.03449997345476434,-0.12360139202127661,-0.03870877523106682,0.06712965107298217,0.004110473429685573,0.0039308761247148355,-0.018646514050341418,0.06356335416044026,0.004738945846831821,-0.0024008319165517095,0.11888926497614186,0.061269156879175814,0.0062711323269624315,-0.08696749733004777,1,-0.03870877523106682,0.06712965107298217,0.004110473429685573,0.0039308761247148355,0.06319877494826734
29,2,1,20,0.049097832892089584,-0.002804163032708837,-0.06632907166666663,-0.09602309864396401,0.05006395752366167,0.008354557184808984,0.009751145667294545,-0.04716914326683487,0.041156476841200856,0.009146999837772982,-0.006073263041321324,0.30692247853286087,0.03516944426101867,0.014418354489736685,-0.22451379304678773,1,-0.09602309864396401,0.05006395752366167,0.008354557184808984,0.009751145667294545,0.04031281185636712
31,2,1,20,0.01879844658809642,-0.09593515219816916,0.008082441333333332,0.0071279176647491465,0.01624762040435833,0.003694850708843984,-0.0011113136431110393,0.01074165617298667,0.016921451381267872,0.0037441053514767546,0.0013830419405528988,0.007311738930265917,0.01655443721098614,0.0037287386871726483,-0.0011846113827870325,1,0.0071279176647491465,0.01624762040435833,0.003694850708843984,-0.0011113136431110393,0.017358934047469368
37,2,1,20,0.014470484738743692,-0.082355604665508,0.009815626666666667,-0.001535647029619757,0.035572772354387217,0.004077505851421497,0.0002394227283880163,-0.0044692271626162955,0.03528434657065299,0.004017147524000389,-0.0005754353433226612,-0.0014765051704641666,0.03551135803287182,0.004076477453921173,0.00023921598519275193,2,-0.0044692271626162955,0.03528434657065299,0.004017147524000389,-0.0005754353433226612,0.03585978191397565
43,2,1,20,0.00955174276660934,-0.09035305653189517,0.006317583333333333,-0.004227018954548681,0.03562388834457693,0.0036581871513551253,0.0006590345252036849,-0.009256165340111353,0.03503243772843437,0.0035988036464854,-0.0011917775683660372,-0.004203786044734079,0.03544821550886011,0.0036498123949995544,0.0006810763960375917,2,-0.009256165340111353,0.03503243772843437,0.0035988036464854,-0.0011917775683660372,0.03622421529680041
11,3,1,20,-0.09851858854448343,-0.08934994253253528,-0.002990759308510633,0.018451660591162176,0.08183927414790365,0.0034424309918404854,-0.0028767984027680948,0.032637279928475184,0.08390471831295312,0.0035075232406236354,0.0042022129771908225,0.01870615366866649,0.0826230084076066,0.00331435341450693,-0.0030306774866290013,3,0.01870615366866649,0.0826230084076066,0.00331435341450693,-0.0030306774866290013,0.0856536858942356
13,3,1,20,-0.11620645816496583,-0.05154925886227406,-0.042331246808510664,0.017123803593758778,0.1899710721409248,0.005593499323297152,-0.002669772218302931,0.03300512038998055,0.1920684601785012,0.00499375786706722,0.004249574275811945,0.017235508650672332,0.19069249785466805,0.005365642429036189,-0.002792410934038678,2,0.03300512038998055,0.1920684601785012,0.00499375786706722,0.004249574275811945,0.18781888590268928
15,3,1,20,-0.00851915135955002,-0.0788747623847641,-0.05837987446808511,0.003373189597627381,0.0005019076274934941,0.0038795505162673,-0.000525913990166085,0.004681169573519082,0.0007940546882734194,0.0038633604297335002,0.0006027239884384495,0.0034786082166342143,0.000647979111297155,0.003885045496309873,-0.0005635867102179922,2,0.004681169573519082,0.0007940546882734194,0.0038633604297335002,0.0006027239884384495,0.0001913306998349699
